species	category	direction	sided	DE	nDE
AipadurSI	MI	both	greater_SIGNIF	60	89
AipadurSI	MI	down	greater_SIGNIF	42	107
AipadurSI	MI	up	less_SIGNIF	18	131
AipadurSI	MN	both	greater_notSig	37	56
AipadurSI	MN	down	greater_notSig	16	77
AipadurSI	MN	up	greater_notSig	21	72
AipadurSI	mt	both	greater_SIGNIF	16	16
AipadurSI	mt	down	less_SIGNIF	0	32
AipadurSI	mt	up	two.sided_SIGNIF	16	16
AipadurSI	mt	up	greater_SIGNIF	16	16
AipadurSI	NT	both	NA_notSig	2866	6261
AipadurSI	NT	down	NA_notSig	1260	7867
AipadurSI	NT	up	NA_notSig	1606	7521
AipadurSI	PI	both	greater_SIGNIF	52	79
AipadurSI	PI	down	greater_SIGNIF	32	99
AipadurSI	PI	up	less_notSig	20	111
AipadurSI	PN	both	greater_SIGNIF	161	198
AipadurSI	PN	down	greater_SIGNIF	82	277
AipadurSI	PN	up	greater_SIGNIF	79	280
