target_id	length	eff_length	Adur_4	Adur_4_tpm
arahy.Tifrunner.gnm2.ann1.ZLV99U.2	1692	1511.6	47	0.401373
arahy.Tifrunner.gnm2.ann1.2LQ1ZN.1	1791	1610.6	71.4	0.572266
arahy.Tifrunner.gnm2.ann1.80YKV9.1	276	107.116	111	13.377
arahy.Tifrunner.gnm2.ann1.SQH7P6.1	1056	875.605	0	0
arahy.Tifrunner.gnm2.ann1.J522ZU.2	1335	1154.6	2	0.0223607
arahy.Tifrunner.gnm2.ann1.ZAH2CS.1	408	229.518	2.57247	0.144684
arahy.Tifrunner.gnm2.ann1.2ACH3L.1	315	141.773	0	0
arahy.Tifrunner.gnm2.ann1.G7HP2Z.1	1029	848.605	209.025	3.17967
arahy.Tifrunner.gnm2.ann1.EID17C.1	558	378.081	0	0
arahy.Tifrunner.gnm2.ann1.4T50W5.1	408	229.518	1	0.0562435
arahy.Tifrunner.gnm2.ann1.0JI0VP.1	2361	2180.6	41.1429	0.24356
arahy.Tifrunner.gnm2.ann1.Y9YBLC.1	1602	1421.6	119.698	1.08692
arahy.Tifrunner.gnm2.ann1.FHI9NT.1	3663	3482.6	0	0
arahy.Tifrunner.gnm2.ann1.SDFW30.1	198	48.4416	0	0
arahy.Tifrunner.gnm2.ann1.5K2DU6.1	723	542.911	0	0
arahy.Tifrunner.gnm2.ann1.HA0JIQ.1	690	509.964	727.174	18.4072
arahy.Tifrunner.gnm2.ann1.B2J3A8.1	342	166.456	0	0
arahy.Tifrunner.gnm2.ann1.E9UMEP.1	1089	908.605	0	0
arahy.Tifrunner.gnm2.ann1.6959VQ.1	360	183.333	0	0
arahy.Tifrunner.gnm2.ann1.FWV18L.1	1788	1607.6	28.1626	0.226142
arahy.Tifrunner.gnm2.ann1.N4DGME.1	267	99.5252	0	0
arahy.Tifrunner.gnm2.ann1.DD48CX.1	588	408.042	0	0
arahy.Tifrunner.gnm2.ann1.VCFG2H.1	474	294.539	1	0.0438274
arahy.Tifrunner.gnm2.ann1.F8XE83.1	516	336.239	0	0
arahy.Tifrunner.gnm2.ann1.8WED6E.1	1125	944.605	28.4121	0.388278
arahy.Tifrunner.gnm2.ann1.BL8T0D.1	1527	1346.6	359.752	3.44867
arahy.Tifrunner.gnm2.ann1.4AYI8M.1	1641	1460.6	114.938	1.01583
arahy.Tifrunner.gnm2.ann1.54P96V.1	1422	1241.6	18	0.187145
arahy.Tifrunner.gnm2.ann1.CC4WIG.1	462	282.705	0	0
arahy.Tifrunner.gnm2.ann1.PRSK66.1	1638	1457.6	4	0.0354249
arahy.Tifrunner.gnm2.ann1.6C9V7B.1	477	297.502	0	0
arahy.Tifrunner.gnm2.ann1.KC9LFP.1	234	73.536	0	0
arahy.Tifrunner.gnm2.ann1.NK8034.1	1155	974.605	6.78295	0.089842
