Targeting	dadGene	momGene	plantID	dipMom	dipDad	tetMom	tetDad
AreNot-organelle-targeted	AUR62039549	AUR62014128	PlantD	9.62584250473199	8.7163944313573	7.3616038271839	7.56007224935906
AreNot-organelle-targeted	AUR62039557	AUR62014132	PlantA	6.83262161632145	7.18825203697497	5.6301718130815	5.83111649347623
AreNot-organelle-targeted	AUR62039557	AUR62014132	PlantB	6.91748488090796	6.87432479869952	5.8699265058406	5.96010144767275
AreNot-organelle-targeted	AUR62039557	AUR62014132	PlantC	6.96573018129322	6.72060798657451	5.79206707550442	6.10091611821638
AreNot-organelle-targeted	AUR62039557	AUR62014132	PlantD	7.00280960162493	7.19399231301786	5.39661935297727	5.65310359130981
Plastid-targeted_Non-interacting	AUR62039560	AUR62014133	PlantA	10.5726837795947	8.72160463512949	8.45477891345512	7.83401089056023
Plastid-targeted_Non-interacting	AUR62039560	AUR62014133	PlantB	10.5143438021948	9.18956115815037	7.70714837992774	7.37324044295099
Plastid-targeted_Non-interacting	AUR62039560	AUR62014133	PlantC	10.7292641267616	8.68961324565689	8.44334458128789	7.72891891208573
Plastid-targeted_Non-interacting	AUR62039560	AUR62014133	PlantD	10.4606358300577	8.47296680177734	8.65126945548585	7.73540649364217
AreNot-organelle-targeted	AUR62039561	AUR62014134	PlantA	5.11632935209411	4.94058747134774	6.05925781428697	3.17145290606636
AreNot-organelle-targeted	AUR62039561	AUR62014134	PlantB	5.1426215392214	4.71236244919024	6.45841850809483	3.54681910224156
AreNot-organelle-targeted	AUR62039561	AUR62014134	PlantC	5.02541141558446	4.38733056255159	6.32616140576864	3.94503505798667
AreNot-organelle-targeted	AUR62039561	AUR62014134	PlantD	5.41129324719965	4.84050098677546	5.78356984260692	3.41248551471023
AreNot-organelle-targeted	AUR62041246	AUR62014137	PlantA	7.08903660611497	6.34945486772769	6.16248708579915	5.1720422439424
AreNot-organelle-targeted	AUR62041246	AUR62014137	PlantB	6.90956221458801	6.16997205253453	6.4559597339419	5.53272143402833
AreNot-organelle-targeted	AUR62041246	AUR62014137	PlantC	6.78913906172962	5.74681006806716	6.43462966147381	5.41136931806111
AreNot-organelle-targeted	AUR62041246	AUR62014137	PlantD	7.13825646050848	5.81625116124452	6.15839515794973	4.90716600769723
AreNot-organelle-targeted	AUR62041243	AUR62014139	PlantA	5.98890186110224	8.57407888197693	5.64176701660152	6.56476973660882
AreNot-organelle-targeted	AUR62041243	AUR62014139	PlantB	6.66361332825909	8.81036786689416	5.76638401389368	7.57356298540109
AreNot-organelle-targeted	AUR62041243	AUR62014139	PlantC	6.05901441111746	8.98214444018006	5.05788788410338	5.53632821687711
AreNot-organelle-targeted	AUR62041243	AUR62014139	PlantD	6.36770980581115	8.27257104222263	5.75324844661821	5.46096859195739
AreNot-organelle-targeted	AUR62041242	AUR62014140	PlantA	6.64572061291361	6.38625861985144	5.3394396365941	5.34242313688073
AreNot-organelle-targeted	AUR62041242	AUR62014140	PlantB	7.09510901506402	6.42876452923465	4.86750058887568	5.01836088506765
AreNot-organelle-targeted	AUR62041242	AUR62014140	PlantC	6.74842984625409	6.60705144336649	5.74267037048988	5.46313931011832
AreNot-organelle-targeted	AUR62041242	AUR62014140	PlantD	7.00049268019302	6.36954723490065	5.49913204323896	5.54691536190831
AreNot-organelle-targeted	AUR62038486	AUR62014146	PlantA	8.99363245443614	8.96953603447863	7.60246934331282	7.19870359761611
AreNot-organelle-targeted	AUR62038486	AUR62014146	PlantB	9.03141598739942	9.09014932114166	7.4625555011466	7.37364851640488
