target_id	category	PatMatFC	DadMomFC	MatMomFC	PatDadFC	PolyRank	DipRank	MomRank	DadRank
AsAa_g11588_AsAt_g7199	Not-organelle-targeted	-9.62856208032559	-7.71101381848936	NA	NA	48	57	NA	NA
AsAa_g17125_AsAt_g16292	Not-organelle-targeted	9.50765449421871	NA	NA	9.1570954531641	49	NA	NA	34
AsAa_g9254_AsAt_g9255	Not-organelle-targeted	-9.43700840624919	1.13648407073932	1.24798099156196	-9.33936522083122	50	3379	1251	31
AsAa_g14719_AsAt_g21948	Not-organelle-targeted	9.40538976269478	6.28714148239301	NA	4.13981950076003	51	115	NA	186
AsAa_g17080_AsAt_g16318	Not-organelle-targeted	9.31089727292384	3.59734864306205	-6.19591744653687	-0.525620876238819	52	536	38	3465
AsAa_g6668_AsAt_g12722	Not-organelle-targeted	-9.30033385832914	-9.98189221858732	NA	NA	53	19	NA	NA
AsAa_g1757_AsAt_g2217	Not-organelle-targeted	9.26121586652179	2.32456468834512	-5.11260127765264	1.75693920235984	54	1225	75	908
AsAa_g15772_AsAt_g20939	Not-organelle-targeted	9.17992986562522	5.35364205476295	-2.63478417814439	NA	55	195	413	NA
AsAa_g3428_AsAt_g13465	Not-organelle-targeted	-9.17807259822099	NA	NA	-7.4275338087614	56	NA	NA	59
AsAa_g10849_AsAt_g7750	Not-organelle-targeted	9.10993883518639	2.05353981650923	-7.17284259825998	NA	57	1512	24	NA
AsAa_g3841_AsAt_g5676	Not-organelle-targeted	9.06777915643042	8.35608146177995	NA	NA	58	35	NA	NA
AsAa_g14475_AsAt_g22172	Plastid-targeted_Non-interacting	-9.04445170220253	NA	0.655930602701431	-7.35380041133967	59	NA	2246	61
AsAa_g13765_AsAt_g9909	Not-organelle-targeted	9.03675507968256	NA	-8.23952821606659	NA	60	NA	11	NA
AsAa_g11111_AsAt_g7516	Not-organelle-targeted	9.02351215899307	12.9295672673909	NA	-0.838273384820695	61	3	NA	2475
AsAa_g7680_AsAt_g12180	Not-organelle-targeted	-8.74629414705749	-7.22734358138329	NA	NA	62	71	NA	NA
AsAa_g456_AsAt_g3298	Not-organelle-targeted	8.74558581122276	11.1127060378912	NA	-1.3918799403606	63	11	NA	1290
AsAa_g4823_AsAt_g4788	Not-organelle-targeted	8.73068194516286	NA	-5.83417203668308	5.55266557826516	64	NA	50	109
AsAa_g22782_AsAt_g17720	Not-organelle-targeted	-8.60630332442146	NA	NA	-8.3436271741594	65	NA	NA	48
AsAa_g17752_AsAt_g13762	Not-organelle-targeted	8.5062096928044	9.21765857624274	NA	NA	66	25	NA	NA
AsAa_g9259_AsAt_g9249	Not-organelle-targeted	-8.4712966385981	NA	NA	-7.12732788069147	67	NA	NA	70
AsAa_g6745_AsAt_g11644	Not-organelle-targeted	8.43408126645494	5.86034144568413	NA	2.38492989027083	68	139	NA	543
AsAa_g9265_AsAt_g9242	Plastid-targeted_Non-interacting	-8.42174969888131	0.856107256753692	1.52340186650834	-7.74327554130028	69	4363	983	53
AsAa_g10769_AsAt_g7842	Not-organelle-targeted	-8.41409856457867	-1.78486076195294	NA	-7.0864660129103	70	1857	NA	72
AsAa_g9242_AsAt_g9266	Not-organelle-targeted	-8.36908476560033	1.79192568266409	1.7235016471676	-8.44065128854267	71	1845	846	47
AsAa_g11973_AsAt_g5852	Not-organelle-targeted	8.34958312510997	8.97534873289792	NA	-0.819576878947122	72	28	NA	2538
AsAa_g14585_AsAt_g22095	Not-organelle-targeted	8.27634841288227	9.9376213776012	NA	NA	73	20	NA	NA
AsAa_g9318_AsAt_g9189	Not-organelle-targeted	-8.20796255425038	NA	NA	-7.55303577267772	74	NA	NA	56
AsAa_g9310_AsAt_g9197	Not-organelle-targeted	-8.18778166588354	-1.56231344421115	NA	-6.17351177923537	75	2265	NA	91
AsAa_g14822_AsAt_g21846	Not-organelle-targeted	8.1753946587401	8.8322820954888	NA	NA	76	29	NA	NA
AsAa_g9283_AsAt_g9226	Plastid-targeted_Non-interacting	-8.09884815193231	1.56832655086933	2.50651479458032	-7.15280256353468	77	2253	475	67
AsAa_g3922_AsAt_g5756	Not-organelle-targeted	8.07330554975718	7.70714170402581	NA	NA	78	58	NA	NA
AsAa_g14107_AsAt_g9591	Not-organelle-targeted	8.06746892892275	NA	NA	4.93433013446394	79	NA	NA	143
AsAa_g19567_AsAt_g15601	Not-organelle-targeted	8.02374584766757	11.8035778006377	NA	NA	80	7	NA	NA
AsAa_g2527_AsAt_g1276	Not-organelle-targeted	-8.00198426150152	-4.80877887350104	NA	NA	81	275	NA	NA
AsAa_g14338_AsAt_g9366	Dual-targeted_Non-interacting	7.97781437619565	-1.79040794501321	-9.7144163114142	NA	82	1848	3	NA
AsAa_g9248_AsAt_g9260	Not-organelle-targeted	-7.95439915290848	NA	0.93374893140532	-7.31517978768801	83	NA	1709	62
AsAa_g11244_AsAt_g7412	Not-organelle-targeted	7.95049009786811	8.69669047845999	4.5410323575089	3.79368744180019	84	31	109	226
AsAa_g16968_AsAt_g16412	Not-organelle-targeted	-7.94004735841409	NA	8.92890843907401	NA	85	NA	7	NA
AsAa_g1339_AsAt_g2464	Not-organelle-targeted	-7.93940323653218	-8.0922900578513	NA	NA	86	45	NA	NA
AsAa_g6703_AsAt_g12792	Not-organelle-targeted	7.91966074351834	7.90766906224867	NA	1.9341788415749	87	51	NA	766
AsAa_g7634_AsAt_g12225	Not-organelle-targeted	-7.91660863225051	-1.02361395886526	NA	-7.03531042131115	88	3750	NA	74
AsAa_g9067_AsAt_g6745	Not-organelle-targeted	-7.91154189311406	-7.59118702079652	NA	NA	89	59	NA	NA
AsAa_g8833_AsAt_g6529	Not-organelle-targeted	7.89971542654207	6.17915662927084	NA	NA	90	121	NA	NA
