target_id	length	eff_length	Asue_2	Asue_2_tpm
AsAa_g23219	1299	1119.93	0	0
AsAa_g7582	411	233.341	8634.94	426.731
AsAa_g16673	942	762.98	97.7288	1.47705
AsAt_g15951	1569	1389.93	462	3.83298
AsAa_g4065	1110	930.926	1416.48	17.5461
AsAa_g21535	396	218.765	5	0.263559
AsAa_g17603	2127	1947.93	19	0.112478
AsAa_g21346	1593	1413.93	0	0
AsAa_g20802	531	352.104	208	6.81205
AsAt_g6550	2727	2547.93	4	0.0181034
AsAt_g8112	264	98.7278	0	0
AsAa_g10374	1191	1011.93	2	0.0227912
AsAa_g22636	726	546.98	17.6825	0.372784
AsAa_g13231	657	477.98	2	0.048251
AsAt_g15066	273	105.947	35.405	3.85356
AsAa_g116	717	537.98	55.1698	1.18256
AsAa_g17248	1449	1269.93	344	3.12368
AsAt_g3551	501	322.25	42.6489	1.52616
AsAa_g4610	3654	3474.93	25.0016	0.0829677
AsAa_g18429	1086	906.926	19	0.241584
AsAa_g7836	924	744.98	0	0
AsAt_g9028	174	38.0678	3	0.908762
AsAa_g3027	1722	1542.93	136	1.01644
AsAa_g137	1482	1302.93	370.043	3.27505
AsAa_g1664	711	531.98	33.3438	0.722778
AsAt_g11945	564	385.068	726.285	21.7498
AsAa_g17771	1374	1194.93	0	0
AsAa_g17932	1473	1293.93	360.584	3.21353
AsAa_g12283	207	57.2874	7.2921	1.46784
AsAt_g12088	669	489.98	15	0.35302
AsAt_g1485	891	711.98	134	2.17032
AsAa_g929	954	774.98	5059.06	75.2776
AsAa_g19789	801	621.98	0	0
AsAa_g16057	1491	1311.93	8	0.070318
AsAt_g19351	2169	1989.93	507.349	2.94006
AsAa_g9124	2130	1950.93	458.754	2.7116
AsAa_g9211	894	714.98	11	0.177413
AsAt_g16940	1596	1416.93	92.8526	0.755671
AsAa_g22207	402	224.61	1	0.0513402
AsAa_g909	1227	1047.93	175	1.92572
AsAt_g22056	1545	1365.93	227.616	1.92159
AsAt_g16560	1515	1335.93	217	1.87311
AsAa_g4090	1002	822.926	333.072	4.66727
AsAt_g8388	1050	870.926	0	0
