Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
AUR62020228																																																							
AUR62020229																																																							
AUR62020230																																																							
AUR62020227																																																							
AUR62020226																																																							
AUR62020236																																																							
AUR62020239																																																							
AUR62020235																																																							
AUR62020233																																																							
AUR62020234																																																							
AUR62020238																																																							
AUR62020242																																																							
AUR62020240																																																							
AUR62020241																																																							
AUR62020243																																																							
AUR62020247																																																							
AUR62020244																																																							
AUR62020245																																																							
AUR62020248																																																							
AUR62020251																																																							
AUR62020249																																																							
AUR62020250																																																							
AUR62020252																																																							
AUR62020261																																																							
AUR62020257																																																							
AUR62020260																																																							
AUR62020255																																																							
AUR62020253																																																							
AUR62020256																																																							
AUR62020262																																																							
AUR62020258																																																							
AUR62043918																																																							
AUR62043919																																																							
AUR62043920																																																							
AUR62044640																																																							
AUR62044595																																																							
AUR62044594																																																							
AUR62043079																																																							
AUR62043078																																																							
AUR62043077																																																							
AUR62043080																																																							
AUR62043082																																																							
AUR62043074																																																							
AUR62043073																																																							
AUR62043075																																																							
AUR62043081																																																							
AUR62042537																																																							
AUR62042538																																																							
AUR62042539																																																							
AUR62042540																																																							
AUR62042541																																																							
AUR62042543																																																							
AUR62042542																																																							
AUR62042544																																																							
AUR62042545																																																							
AUR62042547																																																							
AUR62042546																																																							
AUR62042548																																																							
AUR62042549																																																							
AUR62042550																																																							
AUR62042551																																																							
AUR62042552																																																							
AUR62042554																																																							
AUR62042553																																																							
AUR62042555																																																							
AUR62042556																																																							
AUR62042557																																																							
AUR62027893																																																							
AUR62027895																																																							
AUR62027896																																																							
AUR62027897																																																							
AUR62027898																																																							
AUR62027899																																																							
AUR62027900																																																							
AUR62027902																																																							
AUR62027903																																																							
AUR62027904																																																							
AUR62027907																																																							
AUR62027905																																																							
AUR62027908																																																							
AUR62027906																																																							
AUR62027909																																																							
AUR62027910																																																							
AUR62027911																																																							
AUR62027912																																																							
AUR62027914																																																							
AUR62027915																																																							
AUR62027916																																																							
AUR62027918																																																							
AUR62027917																																																							
AUR62027923																																																							
AUR62027922																																																							
AUR62027924																																																							
AUR62027925																																																							
AUR62027927																																																							
AUR62027926																																																							
AUR62027932																																																							
AUR62027930																																																							
AUR62027933																																																							
AUR62027931																																																							
AUR62027928																																																							
AUR62027936																																																							
AUR62027938																																																							
AUR62027934																																																							
AUR62027935																																																							
AUR62027940																																																							
AUR62027939																																																							
AUR62027941																																																							
AUR62027942																																																							
AUR62027944																																																							
AUR62027945																																																							
AUR62027947																																																							
AUR62027948																																																							
AUR62027951																																																							
AUR62027949																																																							
AUR62027952																																																							
AUR62027950																																																							
AUR62027953																																																							
AUR62027954																																																							
AUR62027955																																																							
AUR62027956																																																							
AUR62027959																																																							
AUR62027958																																																							
AUR62027957																																																							
AUR62027965																																																							
AUR62027962																																																							
AUR62027966																																																							
AUR62027963																																																							
AUR62027969																																																							
AUR62027968																																																							
AUR62027967																																																							
AUR62027970																																																							
AUR62027973																																																							
AUR62027974																																																							
AUR62027972																																																							
AUR62027979																																																							
AUR62027978																																																							
AUR62027980																																																							
AUR62027976																																																							
AUR62027975																																																							
AUR62027977																																																							
AUR62027985																																																							
AUR62027983																																																							
AUR62027981																																																							
AUR62027982																																																							
AUR62027984																																																							
AUR62027986																																																							
AUR62027988																																																							
AUR62027992																																																							
AUR62027987																																																							
AUR62027989																																																							
AUR62027991																																																							
AUR62027993																																																							
AUR62027990																																																							
AUR62027997																																																							
AUR62027994																																																							
AUR62027998																																																							
AUR62027995																																																							
AUR62027996																																																							
AUR62027999																																																							
AUR62028000																																																							
AUR62028001																																																							
AUR62028005																																																							
AUR62028006																																																							
AUR62028002																																																							
AUR62028004																																																							
AUR62028003																																																							
AUR62028007																																																							
AUR62028011																																																							
AUR62028010																																																							
AUR62028012																																																							
AUR62028009																																																							
AUR62028013																																																							
AUR62028014																																																							
AUR62028016																																																							
AUR62028017																																																							
AUR62028020																																																							
AUR62028021																																																							
AUR62028019																																																							
AUR62028018																																																							
AUR62028026																																																							
AUR62028024																																																							
AUR62028027																																																							
AUR62028030																																																							
AUR62028032																																																							
AUR62028031																																																							
AUR62028028																																																							
AUR62028036																																																							
AUR62028035																																																							
AUR62028043																																																							
AUR62028042																																																							
AUR62028041																																																							
AUR62028033																																																							
AUR62028040																																																							
AUR62028034																																																							
AUR62028038																																																							
AUR62028037																																																							
AUR62028044																																																							
AUR62028047																																																							
AUR62028045																																																							
AUR62028051																																																							
AUR62028046																																																							
AUR62028049																																																							
AUR62028052																																																							
AUR62028050																																																							
AUR62028048																																																							
AUR62028053																																																							
AUR62028054																																																							
AUR62028055																																																							
AUR62028058																																																							
AUR62028056																																																							
AUR62028057																																																							
AUR62028059																																																							
AUR62028070																																																							
AUR62028065																																																							
AUR62028067																																																							
AUR62028066																																																							
AUR62028069																																																							
AUR62028063																																																							
AUR62028073																																																							
AUR62028064																																																							
AUR62028072																																																							
AUR62028068																																																							
AUR62028061																																																							
AUR62028060																																																							
AUR62028062																																																							
AUR62009507																																																							
AUR62009504																																																							
AUR62009508																																																							
AUR62009506																																																							
AUR62009509																																																							
AUR62009505																																																							
AUR62009515																																																							
AUR62009514																																																							
AUR62009512																																																							
AUR62009510																																																							
AUR62009513																																																							
AUR62009517																																																							
AUR62009516																																																							
AUR62009519																																																							
AUR62009523																																																							
AUR62009521																																																							
AUR62009525																																																							
AUR62009528																																																							
AUR62009527																																																							
AUR62009530																																																							
AUR62009531																																																							
AUR62009529																																																							
AUR62009532																																																							
AUR62009535																																																							
AUR62009534																																																							
AUR62009533																																																							
AUR62009536																																																							
AUR62009538																																																							
AUR62009537																																																							
AUR62009544																																																							
AUR62009542																																																							
AUR62009541																																																							
AUR62009545																																																							
AUR62009539																																																							
AUR62009540																																																							
AUR62009547																																																							
AUR62009543																																																							
AUR62009546																																																							
AUR62009548																																																							
AUR62009549																																																							
AUR62009550																																																							
AUR62009552																																																							
AUR62009551																																																							
AUR62009556																																																							
AUR62009554																																																							
AUR62009555																																																							
AUR62009553																																																							
AUR62009559																																																							
AUR62009562																																																							
AUR62009563																																																							
AUR62009564																																																							
AUR62009566																																																							
AUR62009565																																																							
AUR62009558																																																							
AUR62009561																																																							
AUR62009557																																																							
AUR62009560																																																							
AUR62009571																																																							
AUR62009572																																																							
AUR62009579																																																							
AUR62009577																																																							
AUR62009578																																																							
AUR62009574																																																							
AUR62009568																																																							
AUR62009570																																																							
AUR62009575																																																							
AUR62009569																																																							
AUR62009580																																																							
AUR62009584																																																							
AUR62009581																																																							
AUR62009587																																																							
AUR62009585																																																							
AUR62009583																																																							
AUR62009586																																																							
AUR62009590																																																							
AUR62009592																																																							
AUR62009595																																																							
AUR62009588																																																							
AUR62009589																																																							
AUR62009593																																																							
AUR62009591																																																							
AUR62009604																																																							
AUR62009603																																																							
AUR62009599																																																							
AUR62009605																																																							
AUR62009597																																																							
AUR62009600																																																							
AUR62009606																																																							
AUR62009601																																																							
AUR62009602																																																							
AUR62009607																																																							
AUR62009609																																																							
AUR62009608																																																							
AUR62009610																																																							
AUR62009611																																																							
AUR62009615																																																							
AUR62009623																																																							
AUR62009619																																																							
AUR62009620																																																							
AUR62009614																																																							
AUR62009622																																																							
AUR62009612																																																							
AUR62009613																																																							
AUR62009616																																																							
AUR62009617																																																							
AUR62009618																																																							
AUR62009630																																																							
AUR62009629																																																							
AUR62009627																																																							
AUR62009626																																																							
AUR62009624																																																							
AUR62009632																																																							
AUR62009628																																																							
AUR62009625																																																							
AUR62009645																																																							
AUR62009644																																																							
AUR62009633																																																							
AUR62009646																																																							
AUR62009636																																																							
AUR62009635																																																							
AUR62009637																																																							
AUR62009642																																																							
AUR62009641																																																							
AUR62009638																																																							
AUR62009643																																																							
AUR62009634																																																							
AUR62009640																																																							
AUR62009647																																																							
AUR62009654																																																							
AUR62009648																																																							
AUR62009653																																																							
AUR62009649																																																							
AUR62009650																																																							
AUR62009657																																																							
AUR62009651																																																							
AUR62009652																																																							
AUR62009662																																																							
AUR62009659																																																							
AUR62009655																																																							
AUR62009656																																																							
AUR62009658																																																							
AUR62009660																																																							
AUR62009666																																																							
AUR62009668																																																							
AUR62009669																																																							
AUR62009670																																																							
AUR62009664																																																							
AUR62009663																																																							
AUR62009665																																																							
AUR62009667																																																							
AUR62009673																																																							
AUR62009671																																																							
AUR62009672																																																							
AUR62009686																																																							
AUR62009683																																																							
AUR62009678																																																							
AUR62009685																																																							
AUR62009676																																																							
AUR62009679																																																							
AUR62009682																																																							
AUR62009681																																																							
AUR62009687																																																							
AUR62009680																																																							
AUR62009684																																																							
AUR62009697																																																							
AUR62009696																																																							
AUR62009693																																																							
AUR62009689																																																							
AUR62009692																																																							
AUR62009691																																																							
AUR62009690																																																							
AUR62009698																																																							
AUR62009694																																																							
AUR62009695																																																							
AUR62009703																																																							
AUR62009708																																																							
AUR62009699																																																							
AUR62009704																																																							
AUR62009712																																																							
AUR62009710																																																							
AUR62009706																																																							
AUR62009711																																																							
AUR62009705																																																							
AUR62009709																																																							
AUR62009707																																																							
AUR62009717																																																							
AUR62009713																																																							
AUR62009719																																																							
AUR62009723																																																							
AUR62009721																																																							
AUR62009722																																																							
AUR62009716																																																							
AUR62009715																																																							
AUR62009726																																																							
AUR62009729																																																							
AUR62009725																																																							
AUR62009730																																																							
AUR62009727																																																							
AUR62009731																																																							
AUR62009728																																																							
AUR62009724																																																							
AUR62009739																																																							
AUR62009735																																																							
AUR62009740																																																							
AUR62009732																																																							
AUR62009736																																																							
AUR62009733																																																							
AUR62009738																																																							
AUR62009737																																																							
AUR62009746																																																							
AUR62009750																																																							
AUR62009751																																																							
AUR62009747																																																							
AUR62009748																																																							
AUR62009741																																																							
AUR62009744																																																							
AUR62009743																																																							
AUR62009752																																																							
AUR62009742																																																							
AUR62009753																																																							
AUR62009764																																																							
AUR62009757																																																							
AUR62009758																																																							
AUR62009760																																																							
AUR62009763																																																							
AUR62009761																																																							
AUR62009755																																																							
AUR62009756																																																							
AUR62009762																																																							
AUR62009754																																																							
AUR62009759																																																							
AUR62009771																																																							
AUR62009773																																																							
AUR62009770																																																							
AUR62009775																																																							
AUR62009765																																																							
AUR62009774																																																							
AUR62009772																																																							
AUR62009769																																																							
AUR62009766																																																							
AUR62009768																																																							
AUR62009767																																																							
AUR62009782																																																							
AUR62009784																																																							
AUR62009776																																																							
AUR62009778																																																							
AUR62009783																																																							
AUR62009777																																																							
AUR62009786																																																							
AUR62009788																																																							
AUR62009789																																																							
AUR62009790																																																							
AUR62009797																																																							
AUR62009792																																																							
AUR62009794																																																							
AUR62009798																																																							
AUR62009793																																																							
AUR62009795																																																							
AUR62009796																																																							
AUR62009804																																																							
AUR62009805																																																							
AUR62009808																																																							
AUR62009806																																																							
AUR62009807																																																							
AUR62009803																																																							
AUR62009802																																																							
AUR62009809																																																							
AUR62009812																																																							
AUR62009815																																																							
AUR62009816																																																							
AUR62009820																																																							
AUR62009819																																																							
AUR62009821																																																							
AUR62009810																																																							
AUR62009811																																																							
AUR62009813																																																							
AUR62009817																																																							
AUR62009828																																																							
AUR62009825																																																							
AUR62009824																																																							
AUR62009826																																																							
AUR62009830																																																							
AUR62009827																																																							
AUR62009834																																																							
AUR62009833																																																							
AUR62009831																																																							
AUR62009846																																																							
AUR62009839																																																							
AUR62009844																																																							
AUR62009838																																																							
AUR62009835																																																							
AUR62009836																																																							
AUR62009837																																																							
AUR62009845																																																							
AUR62009842																																																							
AUR62009840																																																							
AUR62009843																																																							
AUR62009854																																																							
AUR62009852																																																							
AUR62009855																																																							
AUR62009850																																																							
AUR62009847																																																							
AUR62009849																																																							
AUR62009851																																																							
AUR62009848																																																							
AUR62009853																																																							
AUR62009860																																																							
AUR62009861																																																							
AUR62009858																																																							
AUR62009857																																																							
AUR62009859																																																							
AUR62009866																																																							
AUR62009870																																																							
AUR62009862																																																							
AUR62009864																																																							
AUR62009865																																																							
AUR62009868																																																							
AUR62009869																																																							
AUR62009867																																																							
AUR62009871																																																							
AUR62009877																																																							
AUR62009872																																																							
AUR62009876																																																							
AUR62009873																																																							
AUR62009874																																																							
AUR62009875																																																							
AUR62009879																																																							
AUR62009878																																																							
AUR62009883																																																							
AUR62009882																																																							
AUR62009884																																																							
AUR62009887																																																							
AUR62009881																																																							
AUR62009886																																																							
AUR62009885																																																							
AUR62009889																																																							
AUR62009891																																																							
AUR62009892																																																							
AUR62009890																																																							
AUR62009893																																																							
AUR62009901																																																							
AUR62009900																																																							
AUR62009904																																																							
AUR62009894																																																							
AUR62009903																																																							
AUR62009895																																																							
AUR62009898																																																							
AUR62009896																																																							
AUR62009899																																																							
AUR62009897																																																							
AUR62009907																																																							
AUR62009909																																																							
AUR62009905																																																							
AUR62009908																																																							
AUR62009906																																																							
AUR62009910																																																							
AUR62009914																																																							
AUR62009913																																																							
AUR62009916																																																							
AUR62009912																																																							
AUR62009915																																																							
AUR62009917																																																							
AUR62009911																																																							
AUR62009919																																																							
AUR62009920																																																							
AUR62009923																																																							
AUR62009922																																																							
AUR62009924																																																							
AUR62009918																																																							
AUR62009925																																																							
AUR62009926																																																							
AUR62009934																																																							
AUR62009931																																																							
AUR62009932																																																							
AUR62009927																																																							
AUR62009928																																																							
AUR62009930																																																							
AUR62009933																																																							
AUR62009936																																																							
AUR62009939																																																							
AUR62009945																																																							
AUR62009943																																																							
AUR62009944																																																							
AUR62009940																																																							
AUR62009935																																																							
AUR62009938																																																							
AUR62009942																																																							
AUR62009937																																																							
AUR62009941																																																							
AUR62009946																																																							
AUR62009947																																																							
AUR62009952																																																							
AUR62009953																																																							
AUR62009948																																																							
AUR62009954																																																							
AUR62009951																																																							
AUR62009950																																																							
AUR62009955																																																							
AUR62009957																																																							
AUR62009949																																																							
AUR62009956																																																							
AUR62044186																																																							
AUR62044187																																																							
AUR62043050																																																							
AUR62043048																																																							
AUR62043044																																																							
AUR62043045																																																							
AUR62043049																																																							
AUR62043042																																																							
AUR62043053																																																							
AUR62043051																																																							
AUR62043052																																																							
AUR62043047																																																							
AUR62043046																																																							
AUR62043043																																																							
AUR62044701																																																							
AUR62044264																																																							
AUR62044265																																																							
AUR62044266																																																							
AUR62042120																																																							
AUR62042119																																																							
AUR62042121																																																							
AUR62042122																																																							
AUR62042123																																																							
AUR62042124																																																							
AUR62042127																																																							
AUR62042126																																																							
AUR62042125																																																							
AUR62042128																																																							
AUR62042129																																																							
AUR62042130																																																							
AUR62042131																																																							
AUR62042133																																																							
AUR62042132																																																							
AUR62042134																																																							
AUR62042135																																																							
AUR62042137																																																							
AUR62042138																																																							
AUR62042136																																																							
AUR62042139																																																							
AUR62042140																																																							
AUR62042141																																																							
AUR62042142																																																							
AUR62042143																																																							
AUR62043949																																																							
AUR62043950																																																							
