Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
AUR62002674	AUR62002850	AUR62006149	AUR62002937	AUR62023510	AUR62003059	AUR62002880	AUR62012884	AUR62003171	AUR62023510	AUR62013057	AUR62002930	AUR62042997	AUR62024524		AUR62023510	AUR62003470	AUR62022672	AUR62018793	AUR62004079				AUR62023017	AUR62035619							AUR62012429		AUR62016720	AUR62007009	AUR62003522		AUR62017472	AUR62005697	AUR62013436			AUR62032686	AUR62016482	AUR62004407		AUR62025919					AUR62004650		AUR62017142	AUR62018211	
AUR62002675	AUR62002860	AUR62006180	AUR62002954	AUR62013349	AUR62003083	AUR62002885	AUR62012893	AUR62003181	AUR62013349	AUR62013066	AUR62002937	AUR62027320	AUR62014959		AUR62013349	AUR62020144	AUR62007155	AUR62038681	AUR62004080				AUR62023099	AUR62029546							AUR62018211		AUR62011204	AUR62007082	AUR62003803		AUR62029886	AUR62037245	AUR62021654			AUR62009088	AUR62009208	AUR62022122		AUR62014506							AUR62035665	AUR62000956	
AUR62002676	AUR62002880	AUR62006176	AUR62002962	AUR62021714	AUR62003082	AUR62002913	AUR62012916	AUR62003260	AUR62021714	AUR62013191	AUR62002954	AUR62016099	AUR62014142		AUR62021714	AUR62027921	AUR62007379	AUR62022705	AUR62034347				AUR62023108	AUR62037179							AUR62000956		AUR62005204	AUR62007152	AUR62020100		AUR62016594	AUR62010074	AUR62021663			AUR62035952	AUR62018553	AUR62031289		AUR62023569							AUR62002543	AUR62040861	
AUR62002677	AUR62002885	AUR62006269	AUR62003022	AUR62025583	AUR62003087	AUR62002909	AUR62012953	AUR62003287	AUR62025583	AUR62013197	AUR62002962	AUR62011340	AUR62014143		AUR62025583	AUR62028023	AUR62030797	AUR62022763	AUR62028015				AUR62023111	AUR62003572							AUR62040861			AUR62036421	AUR62027894		AUR62017157	AUR62010190	AUR62028621			AUR62032813	AUR62020866	AUR62027370		AUR62013340								AUR62029614	
AUR62002678	AUR62002913	AUR62006326	AUR62003034	AUR62031649	AUR62003086	AUR62002919	AUR62013066	AUR62003296	AUR62031649	AUR62013238	AUR62003022	AUR62006748	AUR62011461		AUR62031649	AUR62009596	AUR62011808	AUR62007208	AUR62009749				AUR62023116	AUR62003631							AUR62029614			AUR62036427	AUR62001682		AUR62042836	AUR62010722	AUR62008851			AUR62027864	AUR62025294			AUR62038110								AUR62040211	
AUR62002679	AUR62002909	AUR62006451	AUR62003059	AUR62028634	AUR62003098	AUR62002921	AUR62013095	AUR62003307	AUR62028634	AUR62038945	AUR62003034	AUR62017370	AUR62011503		AUR62028634	AUR62009594	AUR62041013	AUR62007498	AUR62036196				AUR62023211	AUR62004116							AUR62040211			AUR62019472	AUR62035774		AUR62043895	AUR62010848	AUR62008991			AUR62032061				AUR62025599								AUR62040899	
AUR62002680	AUR62002919	AUR62042566	AUR62003054	AUR62008759	AUR62003111	AUR62002930	AUR62013136	AUR62003309	AUR62008759	AUR62038966	AUR62003059	AUR62017375	AUR62017645		AUR62008759	AUR62009714	AUR62000751	AUR62011945	AUR62007591				AUR62005415	AUR62034384							AUR62040899			AUR62019642	AUR62015538		AUR62020658	AUR62040821	AUR62008993			AUR62019027				AUR62009017								AUR62030935	
AUR62002681	AUR62002921	AUR62042568	AUR62003083	AUR62008830	AUR62003145	AUR62002937	AUR62013191	AUR62003303	AUR62008830	AUR62041166	AUR62003054	AUR62016720	AUR62017386		AUR62008830	AUR62036216	AUR62000936	AUR62012065	AUR62007592				AUR62005554	AUR62029055							AUR62043309			AUR62019712	AUR62035212		AUR62030314	AUR62034958	AUR62008994			AUR62020582				AUR62030143								AUR62007554	
AUR62002683	AUR62002930	AUR62042574	AUR62003082	AUR62008836	AUR62003155	AUR62002956	AUR62013197	AUR62003311	AUR62008836	AUR62032474	AUR62003083	AUR62011204	AUR62017472		AUR62008836	AUR62036231	AUR62034098	AUR62018194	AUR62040136				AUR62005660	AUR62033381							AUR62030935			AUR62023677	AUR62014977		AUR62030324	AUR62023393	AUR62030254			AUR62004631				AUR62037039								AUR62012745	
AUR62002684	AUR62002937	AUR62043158	AUR62003087	AUR62008935	AUR62003173	AUR62002954	AUR62013213	AUR62003319	AUR62008935	AUR62032494	AUR62003086	AUR62005204	AUR62029886		AUR62008935	AUR62007763	AUR62023799	AUR62000138	AUR62015428				AUR62005669	AUR62007631							AUR62007554			AUR62035622	AUR62029246		AUR62035647	AUR62020455	AUR62032252			AUR62022164				AUR62022701								AUR62001197	
