species	category	direction	sided	DE	nDE	pvalueDE
AD1SD	DI	down	less	19	57	0.834734730931472
AD1SD	DN	both	two.sided	461	630	0.00431310060768222
AD1SD	DN	both	greater	461	630	0.998238652200597
AD1SD	DN	both	less	461	630	0.00215202006646809
AD1SD	DN	up	two.sided	221	870	0.0000554271467785004
AD1SD	DN	up	greater	221	870	0.999977837545543
AD1SD	DN	up	less	221	870	0.0000305827502652789
AD1SD	DN	down	two.sided	240	851	0.490778079437686
AD1SD	DN	down	greater	240	851	0.253396450529878
AD1SD	DN	down	less	240	851	0.770266435533981
AD1SD	MI	both	two.sided	139	185	0.177318465260648
AD1SD	MI	both	greater	139	185	0.923916732350433
AD1SD	MI	both	less	139	185	0.0935918734863311
AD1SD	MI	up	two.sided	56	268	0.000486207026586357
AD1SD	MI	up	greater	56	268	0.999852841246706
AD1SD	MI	up	less	56	268	0.000251031931146125
AD1SD	MI	down	two.sided	83	241	0.0543759724401439
AD1SD	MI	down	greater	83	241	0.0307959329531077
AD1SD	MI	down	less	83	241	0.977278340256113
AD1SD	MN	both	two.sided	68	66	0.384982980067194
AD1SD	MN	both	greater	68	66	0.201170909044274
AD1SD	MN	both	less	68	66	0.843959912814323
AD1SD	MN	up	two.sided	34	100	1
AD1SD	MN	up	greater	34	100	0.561398650440703
AD1SD	MN	up	less	34	100	0.517713222705288
AD1SD	MN	down	two.sided	34	100	0.242139275429033
AD1SD	MN	down	greater	34	100	0.136658303927349
AD1SD	MN	down	less	34	100	0.902983192847352
AD1SD	PI	both	two.sided	100	146	0.0617821661618272
AD1SD	PI	both	greater	100	146	0.975740873383502
AD1SD	PI	both	less	100	146	0.0326704314400597
AD1SD	NT	both	NA	7617	8677	NA
AD1SD	PI	up	two.sided	44	202	0.00502620756242704
AD1SD	PI	up	greater	44	202	0.998370586409034
AD1SD	PI	up	less	44	202	0.00269680947670822
AD1SD	NT	up	NA	4178	12116	NA
AD1SD	PI	down	two.sided	56	190	0.529165803173865
AD1SD	PI	down	greater	56	190	0.286460291952145
AD1SD	PI	down	less	56	190	0.763701272477592
AD1SD	NT	down	NA	3439	12855	NA
AD1SD	PN	both	two.sided	285	342	0.540770931854845
AD1SD	PN	both	greater	285	342	0.750786492217804
AD1SD	PN	both	less	285	342	0.275819571277094
AD1SD	PN	up	two.sided	144	483	0.13554241553671
AD1SD	PN	up	greater	144	483	0.941143879256297
AD1SD	PN	up	less	144	483	0.0709177039530989
AD1SD	PN	down	two.sided	141	486	0.397376081180587
AD1SD	PN	down	greater	141	486	0.216186512550894
AD1SD	PN	down	less	141	486	0.811478444046175
AD1SD	cp	both	two.sided	16	61	0.0000030205128706741
AD1SD	cp	both	greater	16	61	0.999999394475067
AD1SD	cp	both	less	16	61	0.00000212259302814617
AD1SD	cp	up	two.sided	5	72	0.0000321415459144074
AD1SD	cp	up	greater	5	72	0.999997113256493
AD1SD	cp	up	less	5	72	0.0000152453962199062
AD1SD	cp	down	two.sided	11	66	0.162062867553671
AD1SD	cp	down	greater	11	66	0.951249968125395
AD1SD	cp	down	less	11	66	0.0886748540389573
AD1SD	mt	both	two.sided	15	20	0.735481668417584
AD1SD	mt	both	greater	15	20	0.734709488125216
AD1SD	mt	both	less	15	20	0.387007164461582
AD1SD	mt	up	two.sided	4	31	0.0539430135595698
AD1SD	mt	up	greater	4	31	0.988902375867051
AD1SD	mt	up	less	4	31	0.034435630033312
AD1SD	mt	down	two.sided	11	24	0.146363186981275
AD1SD	mt	down	greater	11	24	0.102381712408677
AD1SD	mt	down	less	11	24	0.950045883161758
AD2SD	DI	both	two.sided	24	52	0.06305983406487
AD2SD	DI	both	greater	24	52	0.978310537044283
AD2SD	DI	both	less	24	52	0.0376190679222059
AD2SD	DI	up	two.sided	21	55	0.272734505636292
AD2SD	DI	up	greater	21	55	0.17288919040791
AD2SD	DI	up	less	21	55	0.885926836797738
AD2SD	DI	down	two.sided	3	73	0.000122674470927635
AD2SD	DI	down	greater	3	73	0.999989448514795
AD2SD	DI	down	less	3	73	0.0000681869974856479
AD2SD	DN	both	two.sided	437	654	0.163469430922634
AD2SD	DN	both	greater	437	654	0.926497633236152
AD2SD	DN	both	less	437	654	0.0827867469999223
AD2SD	DN	up	two.sided	291	800	0.00170578042518206
AD2SD	DN	up	greater	291	800	0.000885606520970262
AD2SD	DN	up	less	291	800	0.999308658049928
AD2SD	DN	down	two.sided	146	945	0.0000000852662754554128
AD2SD	DN	down	greater	146	945	0.999999972584901
AD2SD	DN	down	less	146	945	0.0000000443868986218149
AD2SD	MI	both	two.sided	124	200	0.155888034878188
AD2SD	MI	both	greater	124	200	0.932417980010374
AD2SD	MI	both	less	124	200	0.0838954372381173
AD2SD	MI	up	two.sided	91	233	0.0187463402579375
AD2SD	MI	up	greater	91	233	0.011172607639696
AD2SD	MI	up	less	91	233	0.992071999136362
AD2SD	MI	down	two.sided	33	291	0.00000522334132294071
AD2SD	MI	down	greater	33	291	0.999998778579041
AD2SD	MI	down	less	33	291	0.0000027370960115055
AD2SD	MN	both	two.sided	59	75	0.725574644697711
AD2SD	MN	both	greater	59	75	0.369515843306344
AD2SD	MN	both	less	59	75	0.694285055415335
AD2SD	MN	up	two.sided	36	98	0.252543596197684
AD2SD	MN	up	greater	36	98	0.133851580548929
AD2SD	MN	up	less	36	98	0.904507525736335
AD2SD	MN	down	two.sided	23	111	0.513718993580806
AD2SD	MN	down	greater	23	111	0.80540722470355
AD2SD	MN	down	less	23	111	0.2625033775615
AD2SD	PI	both	two.sided	88	158	0.0436885750126273
AD2SD	PI	both	greater	88	158	0.982951088620677
AD2SD	PI	both	less	88	158	0.0234889692116013
AD2SD	NT	both	NA	6883	9411	NA
AD2SD	PI	up	two.sided	74	172	0.00562696562895135
AD2SD	PI	up	greater	74	172	0.00364683215479039
AD2SD	PI	up	less	74	172	0.997652536162753
AD2SD	NT	up	NA	3660	12634	NA
AD2SD	PI	down	two.sided	14	232	0.000000000622749343204259
AD2SD	PI	down	greater	14	232	0.999999999919589
AD2SD	PI	down	less	14	232	0.000000000337832441817376
AD2SD	NT	down	NA	3223	13071	NA
AD2SD	PN	both	two.sided	265	362	1
AD2SD	PN	both	greater	265	362	0.511237435468561
AD2SD	PN	both	less	265	362	0.521614527326309
AD2SD	PN	up	two.sided	178	449	0.000661643952527889
AD2SD	PN	up	greater	178	449	0.000402666995016239
AD2SD	PN	up	less	178	449	0.999712861725697
AD2SD	PN	down	two.sided	87	540	0.000174628226681474
AD2SD	PN	down	greater	87	540	0.999941738586513
AD2SD	PN	down	less	87	540	0.000091425861208929
AD2SD	cp	both	two.sided	24	53	0.0500303666083591
AD2SD	cp	both	greater	24	53	0.982457221063483
AD2SD	cp	both	less	24	53	0.0309216474234982
AD2SD	cp	up	two.sided	24	53	0.0751638757475448
AD2SD	cp	up	greater	24	53	0.0494022080290721
AD2SD	cp	up	less	24	53	0.971591562742412
AD2SD	cp	down	two.sided	0	77	0.0000000634569481277562
AD2SD	cp	down	greater	0	77	1
AD2SD	cp	down	less	0	77	0.000000044597558689388
AD2SD	mt	both	two.sided	20	15	0.0868175329451937
AD2SD	mt	both	greater	20	15	0.0544133079255903
AD2SD	mt	both	less	20	15	0.973947768796828
AD2SD	mt	up	two.sided	5	30	0.312635844843822
AD2SD	mt	up	greater	5	30	0.919878670331218
AD2SD	mt	up	less	5	30	0.170283416863295
AD2SD	mt	down	two.sided	15	20	0.00201524176295328
AD2SD	mt	down	greater	15	20	0.00158218706611133
AD2SD	mt	down	less	15	20	0.999532255008206
