gene	Targeting	plantID	dipDelta	tetDelta
AUR62023068_AUR62009386	Not-organelle-targeted	Plant4	0.438323862436951	0.84766306346092
AUR62023068_AUR62009386	Not-organelle-targeted	Plant5	0.57276530393941	0.63896780422386
AUR62025448_AUR62008783	Not-organelle-targeted	Plant2	4.65748459834699	6.29296110679371
AUR62025448_AUR62008783	Not-organelle-targeted	Plant3	5.03173755651242	5.76547748719518
AUR62025448_AUR62008783	Not-organelle-targeted	Plant4	2.73649953582198	6.6831577667862
AUR62025448_AUR62008783	Not-organelle-targeted	Plant5	3.97722431428281	5.12631445696935
AUR62011311_AUR62016745	Not-organelle-targeted	Plant2	0.0606879575642596	-2.22774519938192
AUR62011311_AUR62016745	Not-organelle-targeted	Plant3	-0.107295797285951	-5.43849215567274
AUR62011311_AUR62016745	Not-organelle-targeted	Plant4	-0.0637286646100499	-1.6175076549596
AUR62011311_AUR62016745	Not-organelle-targeted	Plant5	0.64824760392429	-1.48827773381251
AUR62011061_AUR62033438	Not-organelle-targeted	Plant2	-0.47610176771822	-0.152831656433511
AUR62011061_AUR62033438	Not-organelle-targeted	Plant3	-0.67856552966481	-0.716754014297811
AUR62011061_AUR62033438	Not-organelle-targeted	Plant4	-1.27513656012064	-0.22151034710889
AUR62011061_AUR62033438	Not-organelle-targeted	Plant5	-1.49013472563584	-0.36309160437375
AUR62001795_AUR62009583	Not-organelle-targeted	Plant2	1.50950652341963	0.60140621324755
AUR62001795_AUR62009583	Not-organelle-targeted	Plant3	0.813643625661379	-0.22453431781476
AUR62001795_AUR62009583	Not-organelle-targeted	Plant4	-0.49330939642074	-0.39748750117424
AUR62001795_AUR62009583	Not-organelle-targeted	Plant5	-0.82390984414507	-0.12549899374679
AUR62000449_AUR62006797	Not-organelle-targeted	Plant2	-0.34453192642847	0.54677565486397
AUR62000449_AUR62006797	Not-organelle-targeted	Plant3	-0.858002327602	0.526165946952229
AUR62000449_AUR62006797	Not-organelle-targeted	Plant4	-0.503105497192239	0.679678019698711
AUR62000449_AUR62006797	Not-organelle-targeted	Plant5	-0.52242034098815	0.65443655130556
AUR62007357_AUR62018634	Not-organelle-targeted	Plant2	0.14775105946635	-0.444558898831199
AUR62007357_AUR62018634	Not-organelle-targeted	Plant3	1.63377206333408	-0.294678556002859
AUR62007357_AUR62018634	Not-organelle-targeted	Plant4	-0.89896335394331	-0.46250886807389
AUR62007357_AUR62018634	Not-organelle-targeted	Plant5	-1.43241600061883	-0.44225302197409
AUR62025500_AUR62008737	Not-organelle-targeted	Plant2	-0.303285914148414	0.998633328453721
AUR62025500_AUR62008737	Not-organelle-targeted	Plant3	-0.13133299986375	-0.962011155765178
AUR62025500_AUR62008737	Not-organelle-targeted	Plant4	-0.6313861716533	0.22734531281285
AUR62025500_AUR62008737	Not-organelle-targeted	Plant5	-1.84859372927796	0.22386568490392
AUR62026848_AUR62037201	Not-organelle-targeted	Plant2	0.55979173535302	0.32924972978115
AUR62026848_AUR62037201	Not-organelle-targeted	Plant3	0.96806450914801	0.21851384087426
AUR62026848_AUR62037201	Not-organelle-targeted	Plant4	0.95867848343295	0.34446454608825
AUR62026848_AUR62037201	Not-organelle-targeted	Plant5	1.04545991384477	-0.344377819161821
AUR62001508_AUR62009862	Not-organelle-targeted	Plant2	0.646022955973701	0.13911701016718
AUR62001508_AUR62009862	Not-organelle-targeted	Plant3	0.49766358048541	0.177997957517699
AUR62001508_AUR62009862	Not-organelle-targeted	Plant4	1.0581627397047	0.44362947705226
