gene	Targeting	plantID	dipRatio	tetRatio
AUR62040325_AUR62042119	Not-organelle-targeted	Plant2	1.004196141459	1.0156699941274
AUR62040325_AUR62042119	Not-organelle-targeted	Plant3	0.977388390555645	0.969819568201929
AUR62040325_AUR62042119	Not-organelle-targeted	Plant4	0.879273110363374	0.968687967338821
AUR62040325_AUR62042119	Not-organelle-targeted	Plant5	0.828679269540604	0.983223129715584
AUR62000129_AUR62019309	Not-organelle-targeted	Plant2	1.0907975577161	1.03851210435965
AUR62000129_AUR62019309	Not-organelle-targeted	Plant3	1.06484192620787	1.03141600420444
AUR62000129_AUR62019309	Not-organelle-targeted	Plant4	1.11529829495916	1.04384289658937
AUR62000129_AUR62019309	Not-organelle-targeted	Plant5	1.15021588264655	1.04768403560857
AUR62040153_AUR62037900	Not-organelle-targeted	Plant2	1.13476445544015	1.04378284459283
AUR62040153_AUR62037900	Not-organelle-targeted	Plant3	1.13163361118285	1.06806484294989
AUR62040153_AUR62037900	Not-organelle-targeted	Plant4	1.22016512732207	1.03879371268822
AUR62040153_AUR62037900	Not-organelle-targeted	Plant5	1.19652639557865	1.02308494496335
AUR62042911_AUR62035140	Not-organelle-targeted	Plant2	-7.27094642871319	1.48731949994708
AUR62042911_AUR62035140	Not-organelle-targeted	Plant3	5.03553310637282	3.30509182699796
AUR62042911_AUR62035140	Not-organelle-targeted	Plant4	-8.25058944581806	10.3501941718174
AUR62042911_AUR62035140	Not-organelle-targeted	Plant5	5.8550516144269	13.7625040015578
AUR62033911_AUR62041914	Not-organelle-targeted	Plant2	1.1839557692609	0.970756133683473
AUR62033911_AUR62041914	Not-organelle-targeted	Plant3	1.15693577221562	1.03078671366376
AUR62033911_AUR62041914	Not-organelle-targeted	Plant4	1.11781499348059	1.01426861115141
AUR62033911_AUR62041914	Not-organelle-targeted	Plant5	1.13440657157876	1.02058795041425
AUR62016573_AUR62003727	Not-organelle-targeted	Plant2	1.28866320222266	1.11003770564227
